AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2019-20,40,5,0,48,955,98.3%
State,Alabama,All,2019-20,41,3.8,0,36,940,96.8%
State,Alabama,All,2019-20,42,4.5,0,46,1012,> 100%
State,Alabama,All,2019-20,43,4.4,2,42,1000,> 100%
State,Alabama,All,2019-20,44,5.7,2,53,962,99%
State,Alabama,All,2019-20,45,4.9,0,52,1054,> 100%
State,Alabama,All,2019-20,46,6.1,0,67,1099,> 100%
State,Alabama,All,2019-20,47,4.3,3,43,1061,> 100%
State,Alabama,All,2019-20,48,7.6,2,78,1049,> 100%
State,Alabama,All,2019-20,49,5.3,2,55,1072,> 100%
State,Alabama,All,2019-20,50,5.6,4,59,1117,> 100%
State,Alabama,All,2019-20,51,5.5,2,59,1116,> 100%
State,Alabama,All,2019-20,52,5.6,2,57,1059,> 100%
State,Alabama,All,2019-20,1,6.6,5,67,1091,> 100%
State,Alabama,All,2019-20,2,8,9,83,1143,> 100%
State,Alabama,All,2019-20,3,6.5,7,63,1071,> 100%
State,Alabama,All,2019-20,4,6.9,7,67,1074,> 100%
State,Alabama,All,2019-20,5,6.7,16,54,1047,> 100%
State,Alabama,All,2019-20,6,6.8,11,64,1111,> 100%
State,Alabama,All,2019-20,7,7.8,7,78,1088,> 100%
State,Alabama,All,2019-20,8,7.1,4,74,1092,> 100%
State,Alabama,All,2019-20,9,7.2,14,69,1160,> 100%
State,Alabama,All,2019-20,10,7,13,62,1067,> 100%
State,Alabama,All,2019-20,11,5.7,6,54,1053,> 100%
State,Alabama,All,2019-20,12,7.9,7,76,1045,> 100%
State,Alabama,All,2019-20,13,7.6,8,70,1022,> 100%
State,Alabama,All,2019-20,14,6.4,3,68,1104,> 100%
State,Alabama,All,2019-20,15,8,3,79,1025,> 100%
State,Alabama,All,2019-20,16,8.6,0,79,914,94.1%
State,Alabama,All,2019-20,17,7.1,0,50,703,72.4%
State,Alabama,All,2019-20,18,8.4,1,26,320,32.9%
State,Alaska,All,2019-20,40,6.4,0,6,94,> 100%
State,Alaska,All,2019-20,41,7.4,0,7,94,> 100%
State,Alaska,All,2019-20,42,3.2,0,3,95,> 100%
State,Alaska,All,2019-20,43,5.7,0,4,70,86.1%
State,Alaska,All,2019-20,44,5.8,0,5,86,> 100%
State,Alaska,All,2019-20,45,7.1,0,7,98,> 100%
State,Alaska,All,2019-20,46,1.1,0,1,91,> 100%
State,Alaska,All,2019-20,47,4.3,0,4,94,> 100%
State,Alaska,All,2019-20,48,4.7,0,5,107,> 100%
State,Alaska,All,2019-20,49,6.9,1,6,102,> 100%
State,Alaska,All,2019-20,50,3.1,0,3,97,> 100%
State,Alaska,All,2019-20,51,3.6,1,2,84,> 100%
State,Alaska,All,2019-20,52,12.3,1,12,106,> 100%
State,Alaska,All,2019-20,1,5.5,1,4,91,> 100%
State,Alaska,All,2019-20,2,3.7,0,4,108,> 100%
State,Alaska,All,2019-20,3,5,0,5,101,> 100%
State,Alaska,All,2019-20,4,2,0,2,101,> 100%
State,Alaska,All,2019-20,5,4.5,1,3,89,> 100%
State,Alaska,All,2019-20,6,4.3,1,3,92,> 100%
State,Alaska,All,2019-20,7,0,0,0,92,> 100%
State,Alaska,All,2019-20,8,4.7,0,4,86,> 100%
State,Alaska,All,2019-20,9,8.1,1,6,86,> 100%
State,Alaska,All,2019-20,10,2.6,0,2,78,95.9%
State,Alaska,All,2019-20,11,8,0,7,87,> 100%
State,Alaska,All,2019-20,12,13.1,1,7,61,75%
State,Alaska,All,2019-20,13,12.7,1,9,79,97.1%
State,Alaska,All,2019-20,14,8.2,0,7,85,> 100%
State,Alaska,All,2019-20,15,6.5,0,4,62,76.2%
State,Alaska,All,2019-20,16,3.8,0,2,53,65.2%
State,Alaska,All,2019-20,17,7.7,0,2,26,32%
State,Alaska,All,2019-20,18,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2019-20,40,4.7,0,52,1110,> 100%
State,Arizona,All,2019-20,41,4.6,2,49,1114,> 100%
State,Arizona,All,2019-20,42,4.6,2,51,1140,> 100%
State,Arizona,All,2019-20,43,5.3,1,53,1012,97.7%
State,Arizona,All,2019-20,44,5.6,1,63,1133,> 100%
State,Arizona,All,2019-20,45,4.9,0,61,1245,> 100%
State,Arizona,All,2019-20,46,6.2,0,73,1176,> 100%
State,Arizona,All,2019-20,47,5.4,1,63,1191,> 100%
State,Arizona,All,2019-20,48,5.1,2,55,1113,> 100%
State,Arizona,All,2019-20,49,5,5,55,1192,> 100%
State,Arizona,All,2019-20,50,7.4,3,83,1164,> 100%
State,Arizona,All,2019-20,51,5.6,3,62,1151,> 100%
State,Arizona,All,2019-20,52,5,0,60,1204,> 100%
State,Arizona,All,2019-20,1,6.8,4,82,1274,> 100%
State,Arizona,All,2019-20,2,7,8,86,1350,> 100%
State,Arizona,All,2019-20,3,5.6,7,63,1255,> 100%
State,Arizona,All,2019-20,4,8.3,11,91,1235,> 100%
State,Arizona,All,2019-20,5,6.7,12,71,1242,> 100%
